x,y,z,pos
-79,140,967,MC
520,233,3808,MC
212,161,1611,MC
180,293,633,MC
93,-40,508,MC
555,-165,4188,MC
351,-24,2894,MC
-50,-204,1380,MC
500,-204,817,MC
1,-90,201,MC
274,127,2879,MC
252,221,3843,MC
340,50,1238,MC
-119,256,-202,MC
499,-148,3533,MC
277,-101,3780,MC
-39,26,1590,MC
413,-398,1470,MC
154,-62,778,MC
81,104,2289,MC
390,28,2456,MC
115,217,1183,MC
289,47,958,MC
48,146,2016,MC
476,-43,3384,MC
152,-186,1604,MC
178,-30,1323,MC
-3,-240,1525,MC
397,-79,3059,MC
231,37,2104,MC
359,13,1031,MC
-20,141,377,MC
282,136,2779,MC
182,42,3151,MC
222,-55,2382,MC
415,-203,929,MC
-147,-61,267,MC
346,-194,3274,MC
368,-82,2990,MC
-23,60,1183,MC
269,17,943,MC
96,79,1153,MC
424,94,2882,MC
25,34,1705,MC
201,47,2042,MC
305,-65,2143,MC
22,-64,1702,MC
349,-173,2763,MC
150,-103,1677,MC
184,-40,1191,MC
27,42,1253,MC
387,104,2752,MC
257,58,2409,MC
139,51,1175,MC
117,7,596,MC
388,-135,2759,MC
228,-51,2862,MC
130,-104,1886,MC
296,-68,1426,MC
108,-16,705,MC
170,-29,2288,MC
311,88,2659,MC
190,36,1933,MC
128,-7,969,MC
246,-8,1767,MC
353,-55,2894,MC
83,-84,2063,MC
290,-73,1672,MC
142,-30,1078,MC
247,-7,2332,MC
198,13,2177,MC
147,101,1364,MC
308,4,1647,MC
134,0,2016,MC
298,30,2346,MC
238,-52,1841,MC
257,-28,1834,MC
42,-25,1138,MC
301,-48,2419,MC
167,-31,2170,MC
179,26,1195,MC
15,440,-1828,BL
-3543,-289,-18967,BL
790,-3523,-3321,BL
2757,28,7968,BL
1862,2337,-11396,BL
2261,187,6386,BL
-9597,-737,8254,BL
-5916,-479,9039,BL
-9465,-542,10423,BL
-1020,-4139,7288,BL
3181,1311,-10144,BL
-1781,1017,-7531,BL
-603,2002,10366,BL
-2820,2736,2656,BL
2566,-1829,-4377,BL
-3323,1221,595,BL
-1915,-2613,5638,BL
1398,-3653,6559,BL
-1482,3603,-11493,BL
1057,-3303,4404,BL
2965,2050,2584,BL
-990,1876,-3031,BL
-67,-634,283,BL
-122,-981,-3959,BL
838,-170,6729,BL
1573,321,4930,BL
-2713,-402,-8202,BL
3378,-2564,3724,BL
-203,1249,-4576,BL
-866,-1462,5708,BL
813,1034,2998,BL
53,-164,3982,BL
245,-851,6888,BL
-208,1973,2994,BL
-1877,-452,-9717,BL
1849,-825,3342,BL
390,-447,5875,BL
911,-1376,5372,BL
-639,1400,-1404,BL
390,-901,-5717,BL
2368,-785,3045,BL
-1097,652,-43,BL
724,-250,7929,BL
40,230,4243,BL
119,577,165,BL
921,-416,1789,BL
-1369,393,220,BL
393,-703,8062,BL
-703,-10,-1087,BL
-99,13,3480,BL
854,-348,1379,BL
-1034,732,-3213,BL
1187,-357,3798,BL
-277,830,2594,BL
-175,33,4983,BL
314,-256,5486,BL
-626,796,-2666,BL
514,-1201,2407,BL
126,389,2973,BL
-30,-239,3005,BL
755,68,907,BL
-23,6,1626,BL
-124,450,85,BL
-712,362,900,BL
1721,-663,6679,BL
-254,-172,3411,BL
309,-151,-2079,BL
522,-325,159,BL
541,-665,707,BL
-248,340,4308,BL
670,190,3525,BL
-508,253,1820,BL
590,115,1755,BL
-247,-327,-983,BL
626,-90,3581,BL
-329,-50,4644,BL
66,-247,3381,BL
612,-261,2343,BL
-35,-228,169,BL
-107,-189,-1162,BL
802,330,1612,BL
212,399,4383,BL
246,407,3086,BL
136,261,1223,BL
1105,-204,1880,BL
96,-356,-1644,BL
7,-139,986,BL
493,63,5574,BL
279,-280,3279,BL
172,24,806,BL
-76,-84,-880,BL
931,-150,1595,BL
20,365,800,BL
63,375,4925,BL
513,-28,2997,BL
-152,-193,-176,BL
281,-229,1241,BL
-142,-246,2107,BL
555,-150,3857,BL
-65,23,1298,BL
13,213,2169,BL
529,68,1539,BL
117,256,-658,BL
21,183,1572,BL
458,-212,4274,BL
151,-38,3095,BL
75,-134,1423,BL
22,-281,-337,BL
746,-239,2314,BL
-131,1,2444,BL
-59,168,2886,BL
910,-95,2633,BL
-464,371,-1366,BL
323,-8,2000,BL
193,-64,3141,BL
38,89,2647,BL
617,-228,3336,BL
-67,-265,227,BL
451,-140,1150,BL
118,-108,1064,BL
-153,267,2248,BL
813,-64,3706,BL
-72,156,1049,BL
299,204,2294,BL
214,-30,307,BL
62,-50,2838,BL
193,-94,3163,BL
104,-51,2778,BL
565,-243,1951,BL
-29,88,-10,BL
14,120,219,BL
578,14,3174,BL
78,176,2727,BL
83,41,2262,BL
554,-31,1634,BL
78,-122,323,BL
248,-219,1819,BL
60,86,2950,BL
243,-83,3404,BL
343,-98,1810,BL
386,23,1044,BL
352,-40,1838,BL
-32,232,1832,BL
294,-30,3249,BL
